id,level,owner,check
V1.1.1,2,stack,test: packages/static/tests/files.test.ts#a dot segment and a climbing segment get the unknown answer, and never the file
V1.1.2,2,stack,test: packages/dom/tests/light.test.ts#toHtml escapes, leaves void elements open and script raw, and prints style
V1.2.1,1,stack,test: packages/dom/tests/light.test.ts#toHtml escapes, leaves void elements open and script raw, and prints style
V1.2.2,1,application,encodeURIComponent for every value put into a URL, as fromUrl does for the icon name
V1.2.3,1,application,JSON.stringify for JSON, and never a script built from text
V1.2.4,1,stack,test: packages/store/tests/postgres.test.ts#a value that reads as SQL is a value, whether it is written, queried for or read back
V1.2.5,1,application,the stack builds no command from data; a module that spawns one owns this
V1.2.6,2,none,no LDAP here
V1.2.7,2,none,no XPath here
V1.2.8,2,none,no LaTeX here
V1.2.9,2,application,the stack builds no regular expression from data; a module that does escapes it
V1.3.1,1,application,no rich text editor ships; sanitize what one hands you before it is stored
V1.3.2,1,stack,test: packages/sandbox/tests/escape.child.test.ts#child: files, network, spawning, workers, eval and the environment are denied inside the room
V1.3.3,2,application,what leaves a module for another interpreter is escaped for that interpreter
V1.3.4,2,stack,test: packages/icons/tests/from-url.test.ts#a drawing that can run or reach out is refused as unsafe-body, naming the icon, and a plain one passes
V1.3.5,2,none,no template language here
V1.3.6,2,application,the stack fetches only what your configuration names; a module that fetches a URL taken from data allowlists it
V1.3.7,2,none,no template engine here
V1.3.8,2,none,no JNDI here
V1.3.9,2,none,no memcache here
V1.3.10,2,none,no format strings in this runtime
V1.3.11,2,application,nothing here sends mail; the notify battery and a module of yours own what goes into a message
V1.4.1,2,none,a managed runtime; no pointer arithmetic
V1.4.2,2,stack,test: packages/codec/tests/wire.test.ts#the integer range is the exact one, and it is the same on both sides
V1.4.3,2,none,a managed runtime frees what nothing holds
V1.5.1,1,none,no XML parser here
V1.5.2,2,stack,test: packages/codec/tests/fuzz.test.ts#decodeCommit answers or refuses safely, and reproduces its bytes
V2.1.1,1,application,the shape written down: shape, list and table from @aweftjs/schema, as guard on the document or check at the door
V2.1.2,2,application,a guard or a check that reads the related slots together
V2.1.3,2,application,the limits your modules count, documented beside them
V2.2.1,1,application,shape, list and table from @aweftjs/schema, as guard on the document or check at the door
V2.2.2,1,stack,suite: a commit the module refuses is reported at the client with its undo, and the server's copy is unchanged
V2.2.3,2,application,a check that reads the related slots together
V2.3.1,1,application,a module that keeps the step a flow is at in a document the user cannot write
V2.3.2,2,application,a counter in the module, the shape of the sign-in counts in auth/Enter
V2.3.3,2,application,atomic groups writes into one commit that lands whole or not at all; an operation over several documents is yours to order
V2.3.4,2,application,a module that holds the count and refuses over it; the store lands one commit at a time per document
V2.4.1,2,stack,suite: more requests than the window allows from one address are 429 with Retry-After, and so is the handshake
V3.2.1,1,stack,test: packages/static/tests/files.test.ts#the content type comes from the table, and an extension it does not name is octet-stream
V3.2.2,1,stack,test: packages/dom/tests/light.test.ts#toHtml escapes, leaves void elements open and script raw, and prints style
V3.3.1,1,application,Secure is on over TLS; the prefix is the name you give the cookie: '__Host-session' on auth/Session's config
V3.3.2,2,stack,suite: the session cookie is HttpOnly, SameSite and Secure over TLS
V3.3.3,2,application,cookie: '__Host-session' on auth/Session's config where the site is served over TLS
V3.3.4,2,stack,suite: the session cookie is HttpOnly, SameSite and Secure over TLS
V3.4.1,1,operator,Strict-Transport-Security at the proxy that terminates TLS
V3.4.2,1,application,the stack sets no Access-Control-Allow-Origin header; a module that adds one gives it a fixed value
V3.4.3,2,application,a Content-Security-Policy header on the page your module or host serves
V3.4.4,2,stack,test: packages/server/tests/origin.test.ts#every answer carries nosniff, the module's own or the server's, a redirect included
V3.4.5,2,application,a Referrer-Policy header on the page your module or host serves
V3.4.6,2,application,frame-ancestors in a Content-Security-Policy header on the page your module or host serves
V3.5.1,1,stack,suite: a foreign Origin is refused on a state-changing request and at the handshake, and passes on a read
V3.5.2,1,none,nothing here relies on a preflight; the Origin rule refuses a cross-site state change outright
V3.5.3,1,application,a state change is a POST, PUT, PATCH or DELETE route, as the auth routes are
V3.5.4,2,operator,one application per hostname
V3.5.5,2,stack,test: packages/sandbox/tests/escape.iframe.test.ts#the iframe runner: the window suite and the frame's own denials, under a real browser
V3.7.1,2,application,the page loads what you give it
V3.7.2,2,application,the stack redirects nowhere; a module that does checks the host first
V4.1.1,1,stack,test: packages/static/tests/files.test.ts#the content type comes from the table, and an extension it does not name is octet-stream
V4.1.2,2,operator,the redirect from HTTP to HTTPS at the proxy
V4.1.3,2,stack,test: packages/server/tests/node.test.ts#forwarded reads the scheme and the proxy's own entry for the peer, x-real-ip reads that header, and off they are ignored
V4.2.1,2,stack,test: packages/server/tests/node.test.ts#a body and a frame are bounded at 1 MiB with no option, Infinity removes the bound, and a bad size is refused
V4.3.1,2,none,no GraphQL here
V4.3.2,2,none,no GraphQL here
V4.4.1,1,operator,TLS at the proxy, so the socket is wss
V4.4.2,2,stack,suite: a foreign Origin is refused on a state-changing request and at the handshake, and passes on a read
V4.4.3,2,none,the session cookie is read at the handshake; there is no dedicated socket token
V4.4.4,2,none,no dedicated socket token; the cookie was set by the session route over HTTPS
V5.1.1,2,application,the uploads battery's config: types and maxBytes per family
V5.2.1,1,stack,test: packages/server/tests/node.test.ts#a body and a frame are bounded at 1 MiB with no option, Infinity removes the bound, and a bad size is refused
V5.2.2,1,application,types on the uploads battery, checked against the bytes
V5.2.3,2,application,nothing here unpacks an archive; a module that does bounds the result
V5.3.1,1,application,the server runs modules from sources only; keep an upload out of sources and out of a module document
V5.3.2,1,stack,test: packages/static/tests/files.test.ts#a dot segment and a climbing segment get the unknown answer, and never the file
V5.4.1,2,stack,test: packages/static/tests/files.test.ts#a dot segment and a climbing segment get the unknown answer, and never the file
V5.4.2,2,application,a name you put in a header is quoted and encoded; the uploads battery serves by id
V5.4.3,2,application,a scanner over what is stored, when the files are not yours
V6.1.1,1,stack,doc: packages/auth/README.md#The bounds
V6.1.2,2,application,the list refusePassword reads
V6.1.3,2,application,one pathway ships; document a second one beside it
V6.2.1,1,stack,suite: a password shorter than eight or longer than the ceiling is refused, and any composition of eight is taken
V6.2.2,1,application,no change or reset route ships; both wait on the notify battery
V6.2.3,1,application,no change or reset route ships; both wait on the notify battery
V6.2.4,1,application,refusePassword on auth/Enter, given the list or the lookup
V6.2.5,1,stack,suite: a password shorter than eight or longer than the ceiling is refused, and any composition of eight is taken
V6.2.6,1,application,auth/SignIn's password field is masked; a form of your own uses TextField's password
V6.2.7,1,application,nothing in the stack blocks paste or a password manager; keep it so
V6.2.8,1,stack,test: packages/auth/tests/enter.test.ts#sign-up creates the user document with a hash and never the password; sign-in verifies it
V6.2.9,2,stack,suite: a password shorter than eight or longer than the ceiling is refused, and any composition of eight is taken
V6.2.10,2,none,nothing here expires a password
V6.2.11,2,application,refusePassword on auth/Enter, given the list or the lookup
V6.2.12,2,application,refusePassword on auth/Enter, given the list or the lookup
